,ID,NFTREP_V1,SPEAKER_ETHCC_PARIS23,STUDY_GROUP_HOST_C2_22_23,ETHCC_23,FUND_AUTHOR,STUDY_GROUP_HOST_360_22,STUDY_GROUP_HOST_FUND_22_23,SPEAKER_BARCAMP_PARIS_23,BARCAMP_PARIS_23,TEAM_BARCAMP_PARIS_23,FUND_MOD_1,FUND_MOD_2,FUND_MOD_3,FUND_MOD_4,FUND_MOD_5
168,0x5aae22f14eca19fb5a19be0004276aa375f255a3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
169,0xb0e7e1d7e3ad1e7c6ce3bad881ed95aea0df7713,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
170,0xd2e763a502c36ec1f9335d1aa9ebcafc29eada94,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
171,0x2326085e6753be00097d0c2679229441dfbe9635,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
172,0x1104ff3b334316a3c0c28a8df6fc937858ba6d5d,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,0xc8c1c071eaa8792fb1ee0a638bc26c747f4b1764,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
174,0x65c85873de311a92e993fe5c857623cc5c4bd55a,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
175,0x42fb38c130083ba1976665b7964244d0530f6e3b,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
176,0x1378b43fd789b6b243f2b81168ad05131791462e,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
177,0x6e20f1b46d4164d707e8342f941302b2197bbe47,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
178,0xad8853c128116a4c91d6d39eb3db39ec4368dcc6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
179,0x33878e070db7f70d2953fe0278cd32adf8104572,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
180,0x6ac0c22198d53682277c57a53602dc0e0d95b840,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
181,0xc4630b2ac97c0297599db9a6b9a8a8a23856defb,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
182,0xc6837f9d06d95fa90cf91a6dd6bb8cb51bfcfc59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
183,0x06a4974834fad8c21ae1edb09b1e7d971478afa6,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
184,0x078da083d361b52206b3882fb4bac67f865444ca,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
185,0x66d9dfddc3ad45d6383d5b9e9354f60bc9d16a8e,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
186,0x821c590817b28f940a04e5d02b5e9a62c5a1772f,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
187,0xb3274ec870533044dc8c7808da21ef7588fea262,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
188,0x2bf034eccebc8cd60dab9c249b6c2996dcb7d8ec,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
189,0xdacf1065b12849298dc5b47ece9553094000074f,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
190,0x32b1b09f43df40897e5677e2d6d0a009ca45ace8,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
191,0x6672f8789c54b49c596e6e7ca3a72726fc4c400e,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
192,0x25d837a43b70f517cb9a437f93d47d3a136970a9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0x86e0d24e94bc2a179111d6a644c0f49855dc5b9a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0xd5a1abd554391a7cdf7d5da035a30200fc554779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0x42f09c7615cff2ef232219fe968b30a446e2ee27,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
196,0x7bb40e06bf466e224bdbc434a41b4389802e5948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0x260b6232edac26f256b4dc52d5ac05dc875f3e58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0x1896cd2c54edc8ab0d6e43c6c7107ac9ea7c8163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0xb9eb8b4cbdadbf0ed7a3e65b10f8a31b4a7671ef,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,0x4ab1e3bd6746bedf6e66ea732e1fe588507faef5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0xfe377025afdacedcebe925ba463d5dc0ed2de45b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0xa88e04c2d42b3be8c77cecae36722d870cee80a9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,0xb7a16e547edbf284387ae6895588d85b27bdde26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0x147d43cea86fa2ea218e378859923aa8e0bddd8d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0x852b8763ecb27beddc190d1792029bc17fd5439a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
207,0x5a4e9bb1f224e8254c1d63e90de34e8572f8dc71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0xd3c0c07dafe5bf50caad420503361c017e8edc27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0x77b476429826c5ba77885d08f272d89d8f1ed0e4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0x2dacc72a6327e5b384a18ccaf6ea610a24fa174d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
